iter	RMSE
0	76771.15043
1	74307.55723
2	72158.85386
3	69838.66105
4	67795.61043
5	65734.54963
6	63765.07185
7	61882.88086
8	60308.42921
9	58649.94192
10	57157.91266
11	55651.09105
12	54316.76497
13	52919.14643
14	51554.06537
15	50392.92774
16	49280.42063
17	48130.32528
18	47068.06136
19	45995.3662
20	45001.79544
21	44082.67953
22	43210.17966
23	42390.65886
24	41588.64214
25	40833.52133
26	40126.2691
27	39500.18333
28	38784.68866
29	38176.68653
30	37529.41719
31	36892.48571
32	36378.13319
33	35901.53318
34	35368.02512
35	34804.14407
36	34356.77452
37	33969.44255
38	33558.40397
39	33084.89657
40	32632.34187
41	32217.426
42	31812.56823
43	31380.16484
44	31091.81837
45	30687.17614
46	30332.17085
47	29985.91467
48	29626.55655
49	29300.77135
50	29026.63043
51	28780.38686
52	28521.30025
53	28287.34686
54	28073.36546
55	27860.23564
56	27595.5923
57	27331.39002
58	27108.77665
59	26870.36051
60	26641.78381
61	26427.55309
62	26273.20999
63	26055.52685
64	25796.28233
65	25576.35578
66	25414.9469
67	25263.58187
68	25121.38502
69	24936.0381
70	24799.40832
71	24678.72313
72	24497.35392
73	24344.27356
74	24190.66057
75	24045.76937
76	23894.97008
77	23752.02265
78	23574.52249
79	23451.67684
80	23315.88543
81	23206.97419
82	23084.87935
83	23012.66084
84	22896.97409
85	22762.31035
86	22645.39828
87	22541.03479
88	22446.27634
89	22379.25422
90	22270.14584
91	22181.83383
92	22078.26749
93	21994.20815
94	21900.81356
95	21819.09759
96	21748.36368
97	21640.36711
98	21544.11428
99	21460.94878
100	21388.13738
101	21325.03487
102	21235.44636
103	21163.4227
104	21094.11771
105	21021.08258
106	20948.1868
107	20887.96558
108	20826.62909
109	20733.13333
110	20670.23099
111	20603.81898
112	20554.33341
113	20478.86954
114	20448.45252
115	20372.07654
116	20302.06916
117	20253.95168
118	20178.48209
119	20121.96816
120	20039.62817
121	19956.93176
122	19891.5146
123	19835.94233
124	19785.88693
125	19730.35815
126	19663.89231
127	19597.85608
128	19530.09559
129	19470.20142
130	19396.5713
131	19330.20605
132	19274.45354
133	19224.44927
134	19147.60635
135	19107.96181
136	19063.96403
137	19002.34854
138	18955.66951
139	18910.21896
140	18842.20287
141	18786.70024
142	18733.78908
143	18682.01464
144	18630.45234
145	18569.03815
146	18533.01199
147	18501.19092
148	18460.93097
149	18413.94996
150	18371.33343
151	18321.21964
152	18282.6231
153	18246.85736
154	18214.8375
155	18178.90832
156	18141.81211
157	18097.30273
158	18062.62658
159	18005.8615
160	17955.84923
161	17915.72154
162	17843.86963
163	17785.51048
164	17762.05748
165	17709.32401
166	17658.38214
167	17611.46577
168	17569.37053
169	17543.02742
170	17494.6608
171	17439.98713
172	17401.60432
173	17348.09892
174	17307.1495
175	17272.81004
176	17250.33473
177	17228.36449
178	17184.43197
179	17138.84195
180	17105.48188
181	17085.09405
182	17044.29137
183	16991.68623
184	16939.15755
185	16909.93581
186	16881.13505
187	16824.56148
188	16779.90796
189	16749.72638
190	16693.15377
191	16652.8606
192	16609.21276
193	16563.26183
194	16520.6986
195	16508.79311
196	16464.98669
197	16428.68284
198	16388.7961
199	16370.15894
200	16345.69198
201	16289.09523
202	16244.19113
203	16199.38161
204	16174.64999
205	16132.49184
206	16083.77346
207	16062.7253
208	16008.813
209	15957.66509
210	15917.965
211	15893.38715
212	15860.21266
213	15832.38804
214	15810.71858
215	15785.29878
216	15775.89614
217	15757.04256
218	15717.96912
219	15674.67995
220	15632.05963
221	15612.79123
222	15603.93159
223	15587.12522
224	15550.21192
225	15515.58935
226	15497.71646
227	15486.34059
228	15478.34067
229	15461.47299
230	15446.48328
231	15420.65776
232	15410.62731
233	15375.37966
234	15330.01859
235	15315.78473
236	15308.1777
237	15278.97102
238	15223.56606
239	15191.55774
240	15157.9114
241	15125.68857
242	15118.80167
243	15103.72469
244	15070.35465
245	15038.92099
246	15015.33954
247	14976.06036
248	14939.82971
249	14926.6684
250	14875.06075
251	14842.85842
252	14806.47612
253	14793.66648
254	14763.20943
255	14737.19965
256	14693.65784
257	14657.95251
258	14624.82553
259	14619.77656
260	14591.05939
261	14567.81899
262	14527.6829
263	14499.81185
264	14444.93341
265	14407.2509
266	14373.01666
267	14333.78254
268	14320.02697
269	14303.39617
270	14261.43386
271	14217.56737
272	14192.74763
273	14182.33516
274	14146.57752
275	14136.00881
276	14102.80322
277	14076.73426
278	14049.19714
279	14038.97651
280	14016.92399
281	13988.97169
282	13941.82274
283	13913.17239
284	13891.03958
285	13857.02437
286	13823.46544
287	13796.7659
288	13780.06478
289	13757.78725
290	13738.93889
291	13724.92573
292	13683.10837
293	13660.34659
294	13647.259
295	13611.49794
296	13600.24143
297	13571.15735
298	13557.16056
299	13548.46465
300	13510.19908
301	13497.79618
302	13468.2564
303	13424.41458
304	13387.14633
305	13355.53936
306	13309.32247
307	13282.39462
308	13257.40682
309	13226.18509
310	13199.14217
311	13176.23922
312	13166.63665
313	13143.60455
314	13118.33696
315	13105.54331
316	13082.53792
317	13047.16004
318	13013.32151
319	12992.23176
320	12981.50657
321	12963.6695
322	12942.85287
323	12925.52587
324	12906.48286
325	12896.2887
326	12884.03535
327	12849.5329
328	12825.7151
329	12808.58732
330	12769.67828
331	12743.49467
332	12719.98869
333	12696.96109
334	12687.99623
335	12664.46517
336	12636.44895
337	12608.5166
338	12582.62758
339	12563.87926
340	12534.81521
341	12508.20075
342	12479.34691
343	12448.67167
344	12418.07825
345	12401.14267
346	12374.52482
347	12351.96211
348	12333.85181
349	12305.61948
350	12280.67098
351	12255.22258
352	12224.70831
353	12209.26358
354	12182.82267
355	12150.73248
356	12131.66781
357	12117.2466
358	12100.42045
359	12081.55614
360	12063.42395
361	12040.32329
362	12014.15394
363	12001.42677
364	11980.89969
365	11961.73423
366	11933.19959
367	11919.29485
368	11910.26712
369	11890.84837
370	11877.62193
371	11854.26848
372	11839.72047
373	11819.77421
374	11796.48445
375	11780.46443
376	11760.2123
377	11741.07102
378	11715.75874
379	11689.82851
380	11672.72849
381	11657.99526
382	11653.9598
383	11636.83438
384	11617.74787
385	11598.73153
386	11593.5546
387	11587.67397
388	11578.47949
389	11560.39187
390	11544.08991
391	11538.61229
392	11511.06472
393	11494.91357
394	11477.70425
395	11455.49982
396	11450.12785
397	11428.87862
398	11415.63378
399	11396.02944
400	11381.54643
401	11365.90833
402	11345.78269
403	11331.03477
404	11323.04779
405	11303.69065
406	11290.51327
407	11286.23896
408	11278.45854
409	11259.0419
410	11243.05351
411	11221.85529
412	11203.40909
413	11184.02884
414	11166.32031
415	11150.05495
416	11132.48655
417	11127.66326
418	11112.70388
419	11100.05497
420	11081.23719
421	11064.8164
422	11055.3505
423	11044.37386
424	11033.29996
425	11018.92427
426	10993.35599
427	10970.23604
428	10962.18296
429	10958.72179
430	10941.11883
431	10920.67444
432	10909.15751
433	10899.66135
434	10896.24099
435	10880.61288
436	10861.24566
437	10849.59718
438	10828.76854
439	10806.77634
440	10791.96137
441	10788.75813
442	10759.62508
443	10747.1219
444	10731.71214
445	10710.90036
446	10681.09157
447	10657.97558
448	10634.87622
449	10620.99007
450	10604.1073
451	10589.18593
452	10571.77539
453	10554.72204
454	10541.02539
455	10524.3001
456	10507.15296
457	10489.91893
458	10477.10326
459	10454.33538
460	10443.32003
461	10428.62374
462	10413.63019
463	10397.32496
464	10374.10309
465	10370.24197
466	10366.69805
467	10364.11732
468	10346.5012
469	10325.94705
470	10313.42384
471	10296.69848
472	10282.8605
473	10265.65497
474	10248.72125
475	10237.2379
476	10220.01088
477	10208.1477
478	10193.38877
479	10173.92087
480	10162.46097
481	10151.68108
482	10124.88983
483	10111.36146
484	10099.86789
485	10083.79445
486	10073.97397
487	10061.4964
488	10044.40358
489	10035.17238
490	10019.21044
491	10000.41769
492	9987.677724
493	9979.812274
494	9953.875676
495	9921.47541
496	9903.20211
497	9892.34349
498	9876.389893
499	9860.476931
