iter	Passed	Remaining
0	4	2235
1	9	2257
2	13	2290
3	17	2176
4	21	2142
5	25	2134
6	29	2099
7	34	2125
8	39	2138
9	43	2127
10	47	2117
11	51	2099
12	55	2072
13	58	2047
14	62	2014
15	66	2002
16	69	1973
17	73	1963
18	76	1944
19	80	1943
20	84	1938
21	89	1939
22	93	1935
23	96	1919
24	100	1917
25	104	1896
26	107	1891
27	111	1873
28	115	1868
29	118	1854
30	122	1847
31	125	1832
32	129	1832
33	134	1840
34	137	1828
35	142	1832
36	146	1828
37	150	1832
38	155	1834
39	158	1821
40	162	1818
41	165	1805
42	169	1800
43	172	1791
44	177	1791
45	181	1789
46	184	1778
47	189	1784
48	197	1815
49	203	1827
50	208	1831
51	212	1828
52	217	1831
53	222	1833
54	225	1822
55	229	1821
56	233	1811
57	237	1810
58	241	1808
59	245	1799
60	249	1795
61	252	1785
62	257	1782
63	260	1775
64	264	1767
65	267	1760
66	271	1751
67	274	1745
68	277	1736
69	281	1731
70	285	1724
71	289	1723
72	293	1715
73	297	1710
74	300	1703
75	304	1697
76	308	1692
77	311	1684
78	315	1682
79	319	1676
80	323	1671
81	326	1662
82	330	1660
83	333	1651
84	337	1648
85	341	1642
86	344	1635
87	348	1632
88	351	1624
89	355	1620
90	359	1616
91	363	1611
92	366	1603
93	370	1598
94	373	1591
95	377	1589
96	382	1589
97	386	1584
98	390	1582
99	394	1578
100	399	1576
101	403	1575
102	407	1572
103	411	1568
104	415	1564
105	419	1557
106	424	1557
107	428	1553
108	432	1551
109	436	1548
110	439	1541
111	443	1537
112	447	1531
113	450	1526
114	454	1520
115	458	1516
116	462	1512
117	465	1506
118	468	1500
119	472	1494
120	475	1489
121	479	1484
122	482	1480
123	485	1473
124	490	1470
125	493	1464
126	497	1460
127	501	1458
128	505	1453
129	509	1450
130	513	1446
131	517	1441
132	520	1435
133	525	1434
134	529	1432
135	534	1429
136	538	1427
137	543	1424
138	547	1420
139	551	1418
140	556	1415
141	560	1411
142	564	1408
143	567	1404
144	571	1400
145	576	1397
146	580	1392
147	584	1390
148	588	1386
149	592	1383
150	597	1381
151	602	1378
152	606	1376
153	612	1375
154	616	1372
155	621	1369
156	626	1369
157	631	1367
158	637	1366
159	641	1362
160	645	1359
161	651	1359
162	656	1357
163	660	1352
164	665	1351
165	670	1348
166	673	1343
167	678	1340
168	682	1336
169	686	1332
170	690	1327
171	693	1322
172	697	1318
173	701	1314
174	705	1310
175	709	1306
176	713	1301
177	717	1297
178	721	1293
179	725	1288
180	728	1284
181	732	1280
182	736	1275
183	739	1270
184	744	1267
185	747	1261
186	751	1257
187	754	1252
188	760	1250
189	764	1247
190	767	1242
191	772	1238
192	775	1233
193	779	1230
194	784	1226
195	788	1222
196	792	1218
197	795	1213
198	800	1210
199	804	1206
200	808	1202
201	813	1199
202	818	1196
203	821	1192
204	826	1188
205	829	1184
206	834	1181
207	840	1179
208	845	1176
209	850	1174
210	855	1171
211	861	1169
212	869	1171
213	875	1170
214	882	1170
215	889	1168
216	894	1166
217	900	1164
218	907	1164
219	914	1164
220	921	1162
221	927	1160
222	932	1157
223	936	1153
224	943	1152
225	953	1156
226	965	1160
227	971	1159
228	978	1157
229	991	1164
230	998	1162
231	1003	1159
232	1009	1156
233	1014	1153
234	1019	1149
235	1024	1145
236	1028	1140
237	1031	1136
238	1037	1133
239	1042	1129
240	1047	1125
241	1054	1123
242	1058	1119
243	1064	1117
244	1070	1113
245	1075	1110
246	1081	1108
247	1086	1104
248	1092	1101
249	1100	1100
250	1106	1098
251	1117	1099
252	1122	1096
253	1127	1091
254	1132	1087
255	1137	1083
256	1141	1079
257	1146	1075
258	1150	1070
259	1156	1067
260	1160	1062
261	1164	1057
262	1168	1053
263	1173	1049
264	1178	1045
265	1183	1040
266	1186	1035
267	1190	1030
268	1193	1025
269	1197	1020
270	1201	1015
271	1204	1009
272	1208	1004
273	1212	999
274	1215	994
275	1219	989
276	1222	984
277	1225	978
278	1229	974
279	1232	968
280	1237	964
281	1240	958
282	1244	954
283	1247	948
284	1251	943
285	1254	938
286	1258	933
287	1262	929
288	1266	924
289	1270	920
290	1273	914
291	1277	910
292	1281	905
293	1285	900
294	1289	896
295	1292	890
296	1296	886
297	1299	880
298	1303	876
299	1306	871
300	1310	866
301	1313	861
302	1317	856
303	1320	851
304	1325	847
305	1330	843
306	1334	838
307	1338	834
308	1343	830
309	1346	825
310	1350	820
311	1353	815
312	1357	811
313	1360	806
314	1364	801
315	1368	796
316	1372	792
317	1376	787
318	1379	782
319	1383	778
320	1387	773
321	1391	769
322	1395	764
323	1399	760
324	1403	755
325	1406	750
326	1410	746
327	1413	741
328	1417	736
329	1420	731
330	1424	727
331	1427	722
332	1431	718
333	1434	713
334	1438	708
335	1441	703
336	1445	699
337	1449	694
338	1452	689
339	1456	685
340	1460	680
341	1464	676
342	1467	671
343	1471	667
344	1474	662
345	1478	658
346	1481	653
347	1485	649
348	1489	644
349	1492	639
350	1496	635
351	1499	630
352	1503	625
353	1506	621
354	1510	616
355	1513	612
356	1517	607
357	1520	603
358	1525	599
359	1529	594
360	1533	590
361	1537	586
362	1542	582
363	1546	577
364	1549	573
365	1553	568
366	1556	564
367	1560	559
368	1564	555
369	1567	550
370	1571	546
371	1575	542
372	1579	537
373	1583	533
374	1587	529
375	1591	524
376	1594	520
377	1598	515
378	1602	511
379	1607	507
380	1613	503
381	1616	499
382	1621	495
383	1626	491
384	1630	487
385	1635	482
386	1641	479
387	1646	475
388	1650	470
389	1655	466
390	1660	462
391	1663	458
392	1667	454
393	1671	449
394	1675	445
395	1679	441
396	1683	436
397	1687	432
398	1693	428
399	1696	424
400	1701	420
401	1706	415
