iter	RMSE
0	74841.82551
1	72314.83359
2	70132.3353
3	67850.66894
4	66025.6595
5	64155.69906
6	62450.88922
7	60677.17784
8	58927.30111
9	57345.45472
10	55794.51889
11	54387.17852
12	53037.60494
13	51723.59915
14	50650.25382
15	49438.98931
16	48339.7179
17	47298.30723
18	46236.88155
19	45185.86896
20	44314.73147
21	43427.61526
22	42535.65808
23	41768.82147
24	40964.16076
25	40230.52059
26	39512.93773
27	38800.02015
28	38105.95022
29	37456.87874
30	36816.4325
31	36291.03985
32	35652.06281
33	35192.67771
34	34633.8501
35	34069.59701
36	33495.77729
37	33044.49391
38	32596.96352
39	32145.23928
40	31739.46602
41	31383.46095
42	31061.8123
43	30742.03339
44	30321.84469
45	30062.9346
46	29637.3287
47	29321.10369
48	28893.98644
49	28562.84838
50	28270.24237
51	28003.01876
52	27733.00294
53	27400.40762
54	27125.2151
55	26882.90948
56	26634.86586
57	26369.18808
58	26130.81102
59	25933.07264
60	25730.06006
61	25483.20863
62	25273.13771
63	25226.06055
64	25026.50016
65	24883.13606
66	24720.08362
67	24578.23012
68	24437.00398
69	24283.31451
70	24105.71058
71	23932.45863
72	23869.58909
73	23706.23417
74	23558.66083
75	23404.85841
76	23248.69044
77	23059.94282
78	22937.42623
79	22825.49546
80	22707.41212
81	22613.25094
82	22463.43611
83	22322.40036
84	22201.46989
85	22097.60927
86	21981.18367
87	21906.00047
88	21883.23378
89	21778.94525
90	21676.28522
91	21581.22729
92	21553.38109
93	21450.84868
94	21325.86123
95	21255.65332
96	21164.62557
97	21038.76904
98	20918.32702
99	20860.32581
100	20755.39433
101	20655.69044
102	20624.52322
103	20526.58389
104	20449.34682
105	20335.93121
106	20229.3882
107	20114.25993
108	20031.53047
109	19950.02535
110	19865.57833
111	19828.35336
112	19737.47809
113	19673.38628
114	19603.1043
115	19567.69805
116	19494.10205
117	19420.2218
118	19414.36866
119	19350.80828
120	19308.49367
121	19199.16777
122	19138.86451
123	19082.23394
124	19006.60353
125	18929.18418
126	18879.9724
127	18804.49726
128	18762.86792
129	18692.06892
130	18612.27569
131	18551.27633
132	18520.0381
133	18472.89734
134	18415.26791
135	18316.83401
136	18244.28116
137	18190.36883
138	18123.25412
139	18066.83487
140	18014.99662
141	17965.6648
142	17934.85439
143	17882.62426
144	17817.51828
145	17754.9305
146	17701.91293
147	17644.16606
148	17589.65105
149	17534.53127
150	17514.28809
151	17451.48686
152	17385.33325
153	17320.23794
154	17279.24697
155	17233.26507
156	17161.02513
157	17104.04677
158	17078.99778
159	17014.61192
160	16979.78348
161	16926.39936
162	16908.18759
163	16851.82967
164	16807.31984
165	16756.42982
166	16698.58321
167	16648.27698
168	16578.44156
169	16541.46912
170	16493.2733
171	16448.03445
172	16403.53655
173	16354.16905
174	16338.21242
175	16291.36241
176	16247.1065
177	16219.13079
178	16175.94155
179	16123.58851
180	16079.51155
181	16065.74897
182	16031.25023
183	15994.21131
184	15962.79129
185	15951.78365
186	15941.21072
187	15906.4408
188	15858.06094
189	15839.09486
190	15804.33496
191	15777.46906
192	15733.33688
193	15724.06311
194	15713.68884
195	15665.57722
196	15630.3333
197	15620.35246
198	15578.61885
199	15562.3786
200	15547.2235
201	15481.10288
202	15454.08561
203	15389.51213
204	15374.29896
205	15360.23447
206	15318.82141
207	15284.22679
208	15256.93871
209	15211.42379
210	15155.93931
211	15108.26272
212	15089.20032
213	15034.45486
214	14995.69397
215	14969.62693
216	14936.9085
217	14884.99714
218	14831.66468
219	14811.97122
220	14795.79847
221	14757.4372
222	14712.26787
223	14678.01592
224	14642.01939
225	14601.94415
226	14586.77142
227	14538.91664
228	14497.237
229	14450.56381
230	14423.52536
231	14383.34451
232	14344.77269
233	14309.74649
234	14289.66568
235	14240.71083
236	14208.93955
237	14197.62043
238	14166.25155
239	14143.99315
240	14113.1174
241	14083.62363
242	14068.78066
243	14043.85999
244	14010.44954
245	13974.65225
246	13930.9186
247	13896.90655
248	13866.14223
249	13841.1841
250	13819.12666
251	13785.23201
252	13774.39172
253	13748.53044
254	13707.12376
255	13685.41133
256	13654.59726
257	13632.31136
258	13600.63782
259	13584.10132
260	13553.81977
261	13527.38323
262	13510.2488
263	13482.79936
264	13461.57889
265	13445.06383
266	13413.27363
267	13399.72965
268	13363.53031
269	13328.62908
270	13284.41424
271	13265.85469
272	13233.04124
273	13181.66836
274	13158.01302
275	13142.00273
276	13113.9745
277	13081.71931
278	13057.64689
279	13014.92782
280	12985.56522
281	12976.10301
282	12949.24743
283	12922.29841
284	12891.28718
285	12869.96177
286	12859.19408
287	12820.3255
288	12792.19817
289	12761.9747
290	12732.29065
291	12695.42122
292	12664.60392
293	12632.26766
294	12619.7883
295	12593.33068
296	12573.57597
297	12547.52087
298	12505.17396
299	12462.50322
300	12449.08324
301	12438.20151
302	12429.67815
303	12420.35894
304	12412.51091
305	12404.85989
306	12382.33028
307	12345.23153
308	12302.29987
309	12280.61945
310	12254.44079
311	12218.48158
312	12191.10771
313	12167.49231
314	12147.77048
315	12116.6942
316	12078.45119
317	12055.19368
318	12027.23605
319	12012.02183
320	11984.74024
321	11964.74174
322	11938.14675
323	11918.46779
324	11896.73392
325	11885.78413
326	11851.36455
327	11840.39087
328	11820.49067
329	11786.03443
330	11756.02495
331	11723.45827
332	11701.35831
333	11679.97267
334	11659.98126
335	11640.01667
336	11631.48457
337	11599.55493
338	11573.39361
339	11541.6423
340	11513.26129
341	11481.64566
342	11440.54199
343	11414.4989
344	11401.32549
345	11384.50167
346	11353.50005
347	11327.00421
348	11305.1626
349	11293.58929
350	11279.45572
351	11265.64092
352	11236.28427
353	11212.03711
354	11191.79764
355	11167.14977
356	11150.65927
357	11122.68472
358	11105.47668
359	11073.58585
360	11067.10967
361	11041.2816
362	11013.55837
363	10994.10045
364	10969.13192
365	10945.53875
366	10920.25574
367	10902.94297
368	10889.71376
369	10869.00362
370	10858.83388
371	10834.7227
372	10813.15606
373	10794.38318
374	10769.31897
375	10750.74685
376	10726.12521
377	10705.88909
378	10688.45404
379	10665.17347
380	10642.91743
381	10625.67169
382	10614.8919
383	10596.85383
384	10584.46937
385	10564.27906
386	10543.32601
387	10510.68596
388	10478.19075
389	10460.04344
390	10444.51644
391	10424.00414
392	10409.49017
393	10385.62522
394	10370.99864
395	10350.47826
396	10332.36319
397	10310.38692
398	10296.4874
399	10294.64088
400	10286.16895
401	10256.07741
402	10236.30332
403	10208.49949
404	10192.10698
405	10163.74207
406	10146.79662
407	10138.04904
408	10119.9825
409	10100.95158
410	10089.50267
411	10060.58264
412	10037.35869
413	10035.82312
414	10010.40736
415	9987.924387
416	9980.228558
417	9954.468002
418	9934.465221
419	9908.735453
420	9905.353269
421	9896.545547
422	9874.800707
423	9862.328972
424	9860.712934
425	9836.57021
426	9825.76996
427	9804.33818
428	9785.199222
429	9782.203343
430	9773.582627
431	9758.85992
432	9743.418568
433	9724.11572
434	9717.091178
435	9715.420127
436	9713.904034
437	9697.315248
438	9677.884827
439	9656.194977
440	9636.911332
441	9623.1494
442	9609.440837
443	9600.501006
444	9587.755805
445	9566.327262
446	9546.73817
447	9545.004079
448	9541.964713
449	9525.652676
450	9496.906221
451	9472.923976
452	9448.900447
453	9426.335071
454	9416.378884
455	9397.323487
456	9379.08556
457	9354.392468
458	9342.466367
459	9340.732885
460	9328.088034
461	9319.517901
462	9293.77757
463	9282.243066
464	9261.164617
465	9240.377997
466	9236.479481
467	9234.900597
468	9217.064126
469	9215.551216
470	9199.317069
471	9178.067071
472	9165.75002
473	9150.563466
474	9140.872349
475	9128.745873
476	9115.225959
477	9100.084275
478	9086.354551
479	9073.69918
480	9062.431898
481	9056.939999
482	9043.372768
483	9034.065985
484	9015.622918
485	9004.45377
486	8984.25989
487	8966.357036
488	8959.597801
489	8958.283494
490	8933.335232
491	8928.346726
492	8915.343393
493	8905.467456
494	8891.262177
495	8875.636557
496	8865.613991
497	8851.786269
498	8836.062281
499	8816.105938
