iter	Passed	Remaining
0	138	69194
1	143	35782
2	148	24602
3	153	19058
4	159	15753
5	164	13551
6	169	11958
7	174	10758
8	179	9817
9	185	9084
10	190	8469
11	196	7977
12	201	7554
13	207	7196
14	212	6869
15	217	6579
16	222	6327
17	227	6102
18	233	5906
19	238	5726
20	243	5556
21	248	5402
22	253	5266
23	258	5135
24	263	5011
25	268	4902
26	273	4799
27	278	4688
28	282	4588
29	286	4492
30	290	4401
31	295	4315
32	299	4241
33	303	4166
34	308	4094
35	312	4029
36	316	3966
37	321	3904
38	325	3842
39	329	3785
40	333	3735
41	338	3687
42	342	3639
43	347	3602
44	351	3554
45	355	3512
46	360	3470
47	364	3435
48	368	3396
49	373	3358
50	377	3323
51	381	3290
52	386	3256
53	390	3222
54	394	3193
55	398	3162
56	403	3133
57	407	3104
58	411	3078
59	415	3049
60	419	3022
61	424	2995
62	428	2970
63	432	2946
64	436	2921
65	440	2897
66	445	2876
67	449	2855
68	453	2833
69	457	2811
70	462	2792
71	466	2774
72	470	2754
73	476	2740
74	480	2723
75	484	2705
76	489	2688
77	494	2673
78	498	2655
79	502	2638
80	507	2624
81	511	2608
82	515	2592
83	520	2576
84	524	2561
85	528	2546
86	533	2530
87	537	2515
88	541	2500
89	545	2486
90	549	2471
91	554	2458
92	558	2445
93	563	2432
94	567	2419
95	572	2408
96	576	2396
97	581	2383
98	585	2371
99	589	2359
100	594	2347
101	598	2335
102	602	2322
103	607	2311
104	611	2299
105	615	2287
106	619	2276
107	623	2264
108	628	2252
109	632	2241
110	636	2231
111	640	2220
112	645	2210
113	649	2200
114	654	2190
115	658	2180
116	663	2170
117	667	2160
118	669	2143
119	673	2133
120	678	2123
121	682	2114
122	687	2106
123	691	2097
124	696	2088
125	701	2081
126	706	2075
127	711	2067
128	715	2058
129	720	2050
130	724	2041
131	729	2033
132	733	2025
133	738	2016
134	742	2007
135	746	1999
136	751	1991
137	755	1982
138	760	1973
139	764	1965
140	768	1956
141	772	1948
142	776	1939
143	781	1932
144	785	1923
145	790	1915
146	794	1907
147	799	1901
148	804	1894
149	808	1886
150	813	1879
151	818	1873
152	822	1865
153	827	1858
154	832	1852
155	836	1845
156	841	1837
