iter	Passed	Remaining
0	144	72032
1	150	37385
2	158	26260
3	163	20296
4	172	17044
5	178	14673
6	185	13037
7	194	11966
8	200	10943
9	207	10176
10	213	9490
11	219	8935
12	226	8485
13	231	8035
14	236	7660
15	242	7331
16	247	7023
17	252	6759
18	256	6500
19	260	6259
20	264	6042
21	269	5859
22	274	5683
23	278	5523
24	283	5385
25	288	5258
26	293	5139
27	298	5034
28	303	4930
29	308	4831
30	313	4736
31	318	4657
32	324	4593
33	331	4543
34	336	4473
35	341	4398
36	346	4336
37	351	4274
38	356	4211
39	360	4147
40	365	4092
41	369	4034
42	374	3980
43	378	3927
44	383	3872
45	387	3824
46	391	3778
47	397	3743
48	416	3837
49	423	3809
50	428	3768
51	432	3725
52	436	3682
53	440	3639
54	445	3603
55	449	3565
56	454	3532
57	459	3502
58	464	3474
59	470	3452
60	476	3432
61	483	3413
62	489	3393
63	495	3377
64	501	3358
65	507	3339
66	515	3329
67	520	3308
68	528	3298
69	533	3279
70	540	3266
71	546	3246
72	550	3220
73	557	3211
74	563	3193
75	569	3174
76	575	3163
77	580	3141
78	586	3124
79	592	3111
80	596	3087
81	602	3072
82	616	3098
83	622	3083
84	626	3061
85	632	3045
86	637	3028
87	643	3010
88	648	2994
89	654	2983
90	659	2965
91	664	2945
92	668	2925
93	673	2910
94	678	2890
95	683	2875
96	688	2858
97	692	2841
98	697	2823
99	701	2807
100	706	2789
101	710	2773
102	714	2755
103	720	2743
104	724	2726
105	729	2710
106	734	2696
107	738	2681
108	743	2665
109	747	2650
110	753	2639
111	757	2624
112	762	2610
113	767	2599
114	772	2585
115	776	2570
116	781	2559
117	786	2546
118	788	2525
119	793	2511
120	797	2497
121	803	2488
122	807	2476
123	812	2463
124	816	2449
125	821	2437
126	825	2425
127	830	2412
128	834	2400
129	839	2390
130	848	2389
131	854	2381
132	860	2375
133	866	2366
134	871	2357
135	877	2347
136	882	2338
137	887	2327
138	891	2316
139	896	2305
140	901	2295
141	906	2284
142	910	2273
143	917	2267
144	923	2261
145	931	2257
146	938	2252
147	944	2245
148	951	2240
149	956	2232
150	962	2225
151	967	2215
152	972	2204
153	977	2195
154	982	2186
155	987	2177
156	992	2167
157	997	2158
158	1001	2147
159	1005	2136
160	1010	2127
161	1014	2117
162	1019	2107
163	1024	2097
164	1028	2088
165	1032	2078
166	1037	2068
167	1041	2058
168	1046	2049
169	1051	2040
170	1055	2030
171	1060	2021
172	1064	2011
173	1068	2002
174	1071	1990
175	1076	1982
176	1081	1972
177	1085	1963
178	1090	1955
179	1094	1946
180	1099	1937
181	1102	1926
182	1106	1917
183	1111	1908
184	1115	1899
185	1118	1887
186	1120	1875
187	1124	1866
188	1129	1858
189	1134	1850
190	1139	1842
191	1143	1834
192	1148	1826
193	1150	1815
194	1155	1807
195	1159	1799
196	1164	1790
197	1167	1780
198	1172	1773
199	1176	1765
200	1180	1756
201	1185	1749
202	1191	1742
203	1195	1734
204	1200	1726
205	1205	1720
206	1209	1711
207	1213	1703
208	1218	1696
209	1223	1689
210	1228	1682
211	1232	1674
212	1237	1667
213	1242	1659
214	1246	1652
215	1251	1645
216	1256	1639
217	1261	1632
218	1266	1625
219	1271	1618
220	1277	1612
221	1282	1605
222	1287	1599
223	1293	1593
224	1297	1586
225	1303	1580
226	1308	1573
227	1312	1566
228	1318	1559
229	1323	1553
230	1328	1547
231	1334	1541
232	1339	1534
233	1344	1527
234	1349	1522
235	1354	1515
236	1359	1508
237	1364	1502
238	1369	1495
239	1373	1488
240	1378	1481
241	1383	1475
242	1389	1469
243	1394	1463
244	1401	1458
245	1407	1452
246	1413	1447
247	1419	1442
248	1423	1435
249	1428	1428
250	1433	1422
251	1438	1415
252	1442	1408
253	1447	1402
254	1452	1395
255	1456	1388
256	1461	1381
257	1465	1374
258	1470	1368
259	1474	1361
260	1480	1355
261	1484	1348
262	1488	1341
263	1493	1334
264	1497	1328
265	1502	1321
266	1506	1315
267	1511	1308
268	1515	1301
269	1520	1294
270	1524	1288
271	1528	1281
272	1533	1274
273	1537	1268
274	1542	1261
275	1547	1256
276	1552	1249
277	1557	1243
278	1561	1237
279	1567	1231
280	1571	1224
281	1576	1218
282	1581	1212
283	1585	1206
284	1590	1199
285	1595	1194
286	1600	1187
287	1604	1181
288	1610	1175
289	1614	1169
290	1619	1162
291	1624	1156
292	1628	1150
